,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Takalar,69.84,70.25,70.86,71.46,72.06,"7,29","7,49","7,64","7,66","7,73","6575,76","6908,05","7228,4","7507,06","7832,68","8,44","8,25","8,25","8,29","7,75",67.18,67.3,67.64,67.9,68.11,364378,380564,399062,428941,455793,531,534,550,563,571,95.15,90.15,91.98,95.59,96.25,87.56,87.45,87.66,87.8,88.24,10454,10543,10746,11239,11679
,Gowa,71.58,71.74,72.44,73.01,73.71,"8,19","8,2","8,4","8,41","8,53","14025,76","15043,7","15734,85","16650,36",17547,"7,38","7,54","7,36","7,42","6,85",70.43,70.45,70.7,70.89,71.06,390917,408435,429222,456719,475305,407,411,432,442,449,90.47,97.2,96.18,96.16,98.42,87.17,87.37,87.83,88.37,88.91,9394,9504,9812,10233,10700
,Sinjai,69.86,70.02,70.6,71.2,71.81,"7,75","7,78","7,79","7,8","7,82","7200,23","7576,83","7945,62","8399,53","8833,54",9,"8,84","8,8","8,55","7,82",67.3,67.38,67.68,67.92,68.13,329819,352490,374226,397562,412441,316,327,305,309,313,86.88,87.13,89.19,86.54,86.14,98.02,97.81,98.13,98.21,98.3,9439,9505,9726,10180,10665
,Maros,71.77,72.32,72.92,73.56,74.04,"7,73","8,01","8,02","8,03","8,05","12233,66","12400,62","13532,96","14210,16","14748,76","9,74","9,57","9,43","9,65","9,32",69.02,69.04,69.28,69.45,69.68,414324,424637,450275,510040,530070,242,245,281,283,287,88.4,87.74,92.73,96.09,94.68,89.23,89.2,89.46,89.5,89.61,10963,11032,11403,11795,12209
,Pangkajene Dan Kepulauan,71.31,71.81,72.41,73.23,73.87,"7,66","7,92","8,05","8,31","8,47","16915,23","17500,61","18363,59","19236,71","20197,59","13,96","14,28","13,92","13,4","12,41",66.66,66.78,67.12,67.36,67.59,358061,368096,389613,416815,439192,311,308,395,400,404,79.66,86.35,90.52,88,94.51,89.85,89.97,90.61,90.76,91.35,11405,11519,11817,12241,12643
,Barru,72.43,72.56,72.96,73.8,74.51,"8,23","8,24","8,25","8,54","8,8","4839,12","5069,99","5329,31","5516,25","5787,54","8,26","8,68","8,4","8,46","8,31",69.02,69.07,69.35,69.55,69.73,337047,351924,368150,400702,417396,157,158,155,156,157,92.61,93.92,96.86,99.09,96.21,95.52,95.51,95.64,95.65,95.74,10923,11017,11275,11712,12058
,Bone,68.46,68.81,69.43,70.25,70.81,"7,15","7,23","7,36","7,54","7,55","22053,74","23273,87","24491,73","25416,03","26825,37","10,68","10,52","10,58","10,53","9,58",67.07,67.21,67.57,67.85,68.1,345009,360177,380513,408244,423727,176,177,178,180,182,94.44,94.28,94.61,97.2,97.54,92.89,92.71,93.34,93.27,93.63,8963,9030,9277,9682,10084
,Soppeng,70.01,70.33,71.05,71.94,72.76,"7,81","7,82","7,96","8,27","8,45","7146,65","7585,98","8054,42","8322,53","8660,66","7,59","7,53","7,49","7,48","6,9",69.65,69.81,70.2,70.5,70.79,315455,341484,365650,398802,411958,173,151,172,172,173,93.37,92.39,94.99,95.67,95.44,97.26,97.25,97.06,97.16,97.34,9483,9558,9756,10098,10547
,Wajo,71.57,72.05,72.69,73.56,73.98,"6,81","7,05","7,16","7,45","7,46","12708,31","13569,28","13891,79","14090,79","14727,12","6,95","6,46","6,57","6,73","6,47",67.35,67.48,67.82,68.1,68.32,350765,361181,375022,402351,431291,151,152,144,148,149,92.38,95.03,94.05,97.03,95.93,90.25,90.44,90.33,90.65,90.65,12386,12505,12729,13192,13608
,Sidenreng Rappang,73.07,73.39,73.81,74.38,74.81,"7,84","7,94","8,04","8,2","8,21","8401,06","8866,07","9297,02","9601,72","9990,29","5,05","5,04","5,11","5,14","5,02",69.83,70.01,70.41,70.74,71.03,349452,360591,383134,421321,458509,170,172,183,179,181,95.83,98.52,94.13,94.77,98.32,92.06,92.2,92.57,92.53,92.6,12073,12201,12379,12739,13209
,Pinrang,73.27,73.46,73.9,74.7,75.43,"7,86","7,87","8,04","8,3","8,53","12826,45","13472,49","14082,65","14388,99","15210,21","8,86","8,81","8,79","8,9","8,55",69.61,69.77,70.15,70.49,70.65,336346,345892,366808,400091,414198,206,208,219,221,224,90.56,94.72,92.06,94.64,92.74,95.16,95.11,95.36,95.61,95.86,11844,11956,12102,12559,13010
,Enrekang,73.98,74.13,74.61,75.11,75.83,"8,9","8,91","8,93","8,94","9,11","4592,23","4884,37","5065,36","5183,42","5418,7","12,17","12,47","12,39","12,69","11,25",70.91,70.93,71.17,71.34,71.51,338731,352147,371669,408198,427556,126,127,127,130,132,89.66,89.11,94.76,97.29,96.63,97.41,97.4,97.91,97.93,98.14,10844,10973,11183,11636,12138
,Luwu,71.58,71.92,72.42,73.23,73.86,"8,24","8,35","8,48","8,73","8,81","9855,91","10449,75","11044,67","11668,14","12176,49","12,65","12,53","12,49","12,71","11,7",70.34,70.44,70.75,71,71.23,347539,359925,381015,414118,433898,122,110,121,131,132,85.17,88.55,89.02,94.72,92.91,92.16,92.58,92.79,92.79,92.83,10014,10116,10308,10691,11121
,Tana Toraja,69.05,69.78,70.16,71.01,71.94,"8,26","8,51","8,52","8,6","8,77","4545,29","4780,98","5025,78","5209,56","5480,43","12,1","12,27","12,18","12,48","10,79",73.3,73.4,73.72,73.99,74.23,336877,350220,366753,399202,418308,137,143,139,142,143,78.97,83.75,85.42,86.03,90.74,87.97,88.46,88.48,88.54,89.05,7217,7434,7584,8017,8319
,Luwu Utara,71.53,71.99,72.48,73.31,74.04,"7,79","7,86","7,87","8,14","8,37","8172,74","8491,5","8876,97","9331,06","9732,44","13,41","13,59","13,22","12,66","11,24",68.51,68.67,69.03,69.36,69.67,354669,368716,382251,414548,431980,43,43,44,45,45,86.18,93.72,93.07,95.94,97.14,89.2,89.44,90,90.2,90.33,11562,11736,12105,12513,12866
,Luwu Timur,74.71,74.83,75.41,75.84,76.44,"8,8","8,81","8,92","8,93","8,94","16256,9","16030,5","16349,21","17928,43","18514,53","6,85","6,94","6,81","6,93","6,55",70.53,70.63,70.94,71.19,71.42,350576,371947,394158,438178,460356,43,43,44,46,46,87.11,92.85,93.19,92.5,89.65,89.71,89.8,90.34,90.34,90.44,12814,12886,13058,13451,13867
,Toraja Utara,69.8,70.22,70.83,71.69,72.31,"7,96","8,25","8,26","8,51","8,54","5148,55","5357,13","5639,38","5861,32","6124,34","12,01","11,99","11,65","12,12","10,73",73.39,73.41,73.65,73.83,74,328096,348611,364343,395731,413029,227,217,224,212,215,83.5,87.62,89.81,91.83,92.86,86.83,86.8,87.32,87.8,88.43,8097,8134,8494,8871,9292
,Kota Makassar,83.58,84,84.45,84.85,85.23,"11,21","11,43","11,55","11,56","11,57","120905,8","126312,8","133132,6","140197,9","147989,2","4,54","4,82","4,58","5,07","4,97",72.09,72.13,72.4,72.6,72.78,442513,475444,511081,570286,592753,8101,7161,8048,8227,8282,90.73,93.75,93.83,97.56,93.92,94.47,94.44,94.52,94.65,94.99,16873,17097,17406,17889,18386
,Kota Parepare,79.2,79.56,79.87,80.36,80.97,"10,45","10,65","10,66","10,7","10,88","4944,03","5162,1","5468,43","5680,82","5969,77","5,44","5,4","5,41","5,34","5,27",71.27,71.31,71.57,71.78,71.98,363710,383471,402126,445032,467151,1525,1540,1727,1767,1795,97.15,98.21,95.46,97.86,96.7,96.88,96.73,96.76,97.06,97.24,13663,13786,14027,14495,14928
,Kota Palopo,79.39,79.72,80.24,80.77,81.25,"10,76","10,94","11,09","11,13","11,16","5472,08","5768,28","6104,74","6369,71","6650,07","7,85","8,14","7,78","7,69","7,35",70.88,70.92,71.18,71.39,71.6,362859,383007,403144,442276,466521,746,740,762,705,716,96.6,92.09,94.64,96.18,96.57,97.32,97.31,97.58,97.61,97.58,12995,13117,13404,13892,14369
Sulawesi Tenggara,Buton,66.78,67.12,68.05,68.96,69.72,"7,71","7,92","8,25","8,49","8,63","2751,66","2847,09","3011,17","3101,74","3200,92","13,21","13,92","13,27","13,77","13,99",68.25,68.39,68.46,68.56,68.67,262541,270212,279627,302183,313831,95,96,72,72,73,79.72,79.37,82.89,80.33,81.22,80.18,80.69,81.46,82.07,82.07,7307,7324,7594,7995,8401
,Muna,69.49,69.64,70.09,70.62,71.5,"8,36","8,46","8,52","8,53","8,71","5071,45","5229,55","5537,28","5650,87","5938,74","12,83","13,54","13,41","14,07","13,78",70.39,70.41,70.47,70.56,70.67,358333,368922,387114,419071,434750,112,114,120,121,123,71.22,79.85,80.9,85.31,85.32,87.59,87.76,87.95,88.13,88.37,8203,8218,8328,8703,9107
,Konawe,72.44,72.58,73.14,73.88,74.5,"9,15","9,21","9,3","9,56","9,69","7348,39","7826,41","9177,94","11244,66","12573,86","12,2","13,03","12,57","13,02","13,25",70.27,70.32,70.38,70.44,70.52,323180,343781,363645,400581,425029,58,59,50,50,51,76.41,89.72,88.02,90.5,90.7,92.65,93.18,93.53,93.76,93.81,10126,10151,10552,10963,11415
,Kolaka,74.45,74.56,74.98,75.73,76.2,"8,98","8,99","9,06","9,35","9,38","18231,57","18999,35","19422,58","20418,78","21452,48","11,63","12,43","11,51","11,8","11,67",71.06,71.21,71.3,71.42,71.56,406919,432858,448100,464000,477917,72,74,83,83,84,87.43,87.35,89.12,93.56,94.03,89.78,90.01,90.23,90.25,90.42,12515,12525,12639,13055,13534
,Konawe Selatan,68.5,68.88,69.67,70.64,71.51,"7,86","8,11","8,27","8,51","8,76","8256,32","8655,57","9154,74","9630,03","10172,3","10,74","11,34","11,08","11,26","11,2",70.8,70.87,70.95,71.02,71.1,261382,275339,294510,331620,354696,53,54,75,76,78,73.8,76.75,87.92,92.36,93.45,87.73,88.03,88.37,88.7,88.61,9037,9059,9347,9753,10250
,Bombana,66.73,66.93,67.49,68.02,68.85,"8,03","8,04","8,05","8,07","8,1","4708,74","4873,72","5122,34","5340,69","5609,73","10,01","10,76","10,26","10,73","10,54",68.91,69.09,69.2,69.34,69.49,325949,346726,368576,406706,423183,50,51,47,48,49,82.75,82.5,82.29,86.24,87.47,84.67,84.91,85.77,85.92,86.08,8234,8310,8680,9132,9692
,Wakatobi,69.51,69.9,70.88,71.45,72.03,"7,94","8,16","8,5","8,51","8,53","3096,55","3220,93","3375,4",3524,"3692,07","14,31","14,91","14,55","14,81","14,36",70.41,70.48,70.59,70.72,70.87,294440,302511,319981,340151,355748,199,202,256,259,263,81.49,84.99,86.71,85.03,87.04,88.39,88.99,89.05,89.32,89.58,9204,9280,9758,10240,10739
,Kolaka Utara,69.4,69.6,70.47,71.11,71.75,"8,12","8,22","8,54","8,81","8,82","6356,66","6525,45","6781,75","7040,84","7320,44","12,96","13,79","13,08","13,57","13,51",70.36,70.36,70.4,70.47,70.56,494836,506903,511972,517092,529192,41,41,48,50,51,84.76,86.18,91.09,92.89,92.38,97.24,97.79,98.38,98.48,98.72,10218,10244,10721,11020,11650
,Buton Utara,68.04,68.25,69.17,69.85,70.75,"8,92","8,93","9,11","9,12","9,24","2250,75","2342,59","2460,04","2520,46","2613,28","14,1","14,89","14,26","14,06","14,09",70.93,70.93,70.96,71.02,71.09,345039,355288,373792,403834,422483,36,36,39,39,40,79.45,69.43,69.69,71.64,72.91,92.02,91.99,92.82,92.58,92.53,7470,7496,7935,8289,8746
,Konawe Utara,70.28,70.66,71.52,72.11,72.71,"9,21","9,3","9,53","9,6","9,61","2828,03","2957,84","3107,85","3264,06","3451,27","13,53","14,32","13,72","13,48","13,17",69.51,69.53,69.59,69.68,69.78,305100,321986,340061,381620,407710,13,14,17,17,18,76.97,76.58,86.56,82.74,84.58,86.17,86.66,87.04,87.24,87.38,9165,9181,9666,10113,10658
,Kolaka Timur,67.06,67.79,68.77,69.61,70.32,"7,56","7,84","8,15","8,4","8,43","3256,58","3413,96","3566,4","3638,88","3753,74","13,47","14,35","13,57","14,04","13,71",72.67,72.82,72.9,73.01,73.13,405341,431179,458563,513085,525091,33,33,30,32,32,88.62,88.41,91.32,93.37,94.72,98.37,99.07,99.29,99.3,99.26,7727,7753,8155,8520,9012
,Konawe Kepulauan,66.2,66.52,67.49,68.11,68.77,"9,41","9,42","9,43","9,45","9,46","1046,99","1071,1","1105,75","1136,61","1217,96","17,01","17,81","16,15","15,9","15,54",68.43,68.43,68.46,68.52,68.6,335414,347332,370692,393000,415880,43,43,54,55,56,70.3,78.38,74.52,73.71,74.55,85,85.05,86.1,86.28,86.43,6700,6738,7192,7564,7996
,Muna Barat,65.41,65.81,66.53,67.44,68.37,"7,01","7,3","7,6","7,86","8,09","1850,88","1926,5","2002,58","2111,98","2176,86","13,3","13,96","13,85","14,03","13,38",70.34,70.35,70.39,70.46,70.55,357477,367868,382129,412697,428282,83,83,104,109,111,68.35,73.03,67.67,71.66,74.6,88.65,88.91,89.35,89.59,89.71,7485,7502,7668,8076,8458
,Buton Tengah,65.49,65.67,66.41,66.94,67.58,"7,3","7,31","7,33","7,34","7,35","1729,46","1760,04","1827,9","1892,41","1955,26","15,32","15,8","14,9","15,43","14,4",67.66,67.69,67.78,67.9,68.03,264699,273354,275058,299593,310721,120,122,142,143,145,77.16,86.51,83.35,85.49,87.71,80.57,81.48,83.01,83.32,83.79,7221,7244,7670,8003,8434
,Buton Selatan,65.97,66.02,66.47,67.19,68.04,"7,53","7,54","7,64","7,65","7,75","2068,59","2080,2","2161,37","2213,51","2320,67","14,11","14,62","14,41","14,76","14,28",67.66,67.69,67.76,67.86,67.97,248184,253877,264666,290203,300991,187,187,185,192,195,81.46,87.22,86.47,83.7,84.32,72.25,72.56,73.43,74.22,74.51,7263,7279,7476,7936,8386
,Kota Kendari,84.21,84.83,85.19,85.51,85.97,"12,2","12,51","12,52","12,53","12,55","16527,21","17165,19","18012,91","18604,82","19499,41","4,34","4,87","4,57","4,59","4,23",73.77,73.83,73.93,74.07,74.23,384379,423653,454846,503369,516809,1147,1164,1342,1370,1395,94.28,96.57,94.71,93.77,98.32,94.61,94.84,94.92,94.98,95.14,14335,14356,14765,15116,15651
,Kota Baubau,77.4,77.75,78.15,79,79.61,"10,64","10,91","10,92","11,02","11,03","6572,22","6844,69","7205,82","7449,39","7773,88","7,15","7,78","7,31","7,53","7,4",71.19,71.25,71.36,71.51,71.67,344598,360766,376932,412008,431717,721,730,557,565,573,95.6,96.68,91.69,96.99,96.43,90.27,90.45,90.94,91.24,91.35,10483,10503,10835,11207,11755
Gorontalo,Boalemo,66.5,67.02,67.86,68.78,69.34,"6,82",7,"7,03","7,3","7,31","3497,05","3568,35","3677,31","3839,7","3977,26","18,57",19,"18,74","18,38","17,83",69.07,69.3,69.61,69.92,70.11,426961,450724,472906,525007,551189,96,97,81,83,84,63.19,68.82,74.62,69.91,73.11,81.15,81.52,82.72,83.17,83.61,8789,8940,9543,9941,10401
,Gorontalo,68.1,68.53,69.51,70.37,70.96,"7,13","7,3","7,61","7,79","7,95","8867,72","9083,62","9440,54","9866,47","10271,71","17,56","17,89","17,71","17,48","16,43",67.58,67.69,67.89,68.09,68.23,475102,502964,531294,568430,605743,225,226,185,188,190,78.18,76.82,75.14,80.56,82.32,81.67,82.72,83.27,83.6,84,9277,9412,9850,10336,10645
,Pohuwato,67.49,67.93,68.67,69.3,70.19,"7,12","7,26","7,35","7,59","7,78","4602,33","4704,13",4849,"5062,52","5268,56","17,62","18,08","17,87","17,64","17,11",64.07,64.3,64.62,64.95,65.18,309174,327587,345924,370530,391236,35,35,34,35,35,66.03,76.2,78.32,82.42,82.04,91.36,91.4,92.05,92.27,92.39,10255,10409,10913,11018,11618
,Bone Bolango,70.5,70.76,71.39,71.97,72.82,"8,31","8,32","8,33","8,35","8,52","3155,95","3225,23","3355,01","3505,12","3653,05","15,81","16,3","16,05","15,51","14,8",68.46,68.52,68.88,69.24,69.49,424275,449543,475874,505252,531286,82,83,88,89,90,77.22,73.57,76.75,78.15,79.99,87.54,88.23,88.72,88.84,89.26,10052,10198,10676,11114,11717
,Gorontalo Utara,66.29,66.64,67.41,68,68.83,"7,03","7,15","7,16","7,17","7,4","2325,06","2376,38","2454,88","2560,6","2668,43","16,88","17,23","17,24","17,03","16,86",65.87,65.93,66.3,66.67,66.95,311200,327531,346557,371302,387535,75,75,75,77,78,71.8,79.03,81.8,81.37,84.07,81.16,81.17,81.94,82.37,82.8,8921,9064,9636,10037,10476
,Kota Gorontalo,77.13,77.41,78.22,78.64,79.18,"10,36","10,37","10,39","10,4","10,41","6172,4","6347,38","6608,49","6907,07","7210,22","5,59","5,93","5,73","5,64","5,74",72.49,72.53,72.88,73.25,73.55,569538,598363,643531,697650,723861,2495,2510,2839,2896,2930,87.61,92.9,92.09,94.48,93.89,86.23,86.76,87.28,87.74,88.47,12278,12390,13077,13351,13860
Sulawesi Barat,Majene,70.71,71.1,71.64,72.44,73.25,"8,65","8,91","9,1","9,28","9,46","3522,82","3597,75","3683,56","3878,13","4083,86","13,73","14,34","15,13","14,54","13,64",61.56,61.77,62.16,62.56,62.89,384344,399350,433111,461255,482173,184,185,197,201,204,86.66,79.48,83.26,83.45,84.52,94.09,94.17,94.19,94.68,95.16,10056,10028,10152,10462,10909
,Polewali Mandar,67.47,67.85,68.42,69.24,69.88,"7,41","7,44","7,6","7,71","7,72","9242,32","9414,9","9751,96","10198,86","10803,24","15,26","15,68","16,39","16,08","15,66",62.38,62.53,62.86,63.2,63.46,401057,416443,452836,482658,507347,237,273,236,239,242,79.63,85.73,83.61,85.87,87.73,91.56,91.63,91.92,92.14,92.25,8580,8548,8726,9096,9536
,Mamasa,66.36,66.97,67.53,68.14,68.68,"7,65","7,88",8,"8,11","8,13","2211,84","2256,11","2296,43","2358,87","2451,03","13,38","13,77","14,51","14,31","14,2",70.87,70.94,71.2,71.45,71.58,273513,283758,312206,329768,347008,56,55,55,56,57,26,64.3,64.73,66.11,67.57,97.79,98.23,98.23,98.42,98.37,7747,7736,7837,8108,8415
,Mamuju,69.64,69.8,70.35,71.07,71.86,"7,95","7,96","8,09","8,16","8,35",8144,"8335,01","8605,4","8981,43","9574,96","6,92","7,46","7,63","7,57","7,15",67.52,67.77,68.21,68.66,69.02,277078,287896,319586,340795,356903,56,56,58,59,60,80.7,80.43,74.58,78.51,81.46,90.57,90.62,90.46,90.57,90.92,9500,9494,9668,10075,10440
,Pasangkayu (Mamuju Utara),69.12,69.37,69.94,70.42,71.04,"7,98","8,09","8,11","8,12","8,13","7115,91","7384,67","7379,12","7879,29","7937,29","4,48","4,77","5,09","4,79","5,21",66.2,66.45,66.9,67.33,67.66,354115,367941,404318,432269,453038,62,63,68,69,70,75.93,79.15,81.17,80.63,83.63,84.92,85.25,85.43,85.72,86.14,11111,11072,11330,11649,12190
,Mamuju Tengah,65.92,66.38,67.07,67.63,68.53,"7,46","7,51","7,61","7,73","7,94","2207,93","2279,81","2332,23","2397,44","2469,05","6,79","7,13","7,17","7,32","7,72",68.33,68.55,68.97,69.37,69.68,255440,265413,290030,309227,324888,45,46,51,52,53,72.05,81.21,83.63,82.84,82.89,86.34,86.1,86.16,86.4,86.74,8414,8408,8633,8821,9250
Maluku,Kepulauan Tanimbar (Maluku Tenggara Barat),65.75,65.85,66.33,67.04,67.69,"9,68","9,69","9,77","9,91","9,92","1685,32","1749,81","1848,74","1930,3","2019,45","27,11","27,27","23,88","24,47","23,66",63.42,63.45,63.73,63.99,64.11,479402,506106,546300,615768,645956,28,28,28,29,29,89.75,84.88,86.96,87.77,92.89,86.44,86.6,86.91,87.13,87.55,6297,6335,6473,6722,7091
,Maluku Tenggara,68.57,68.69,69.23,69.91,70.58,"9,73","9,76","9,78","9,79","9,84","1966,83","2034,04","2148,91","2252,97","2375,56","22,57","22,73","21,19","21,79","21,22",65.07,65.14,65.46,65.78,66.02,517821,549047,595041,669140,695738,118,119,122,123,124,77.89,86.47,71.96,73.16,93.48,96.63,96.65,96.59,96.58,96.78,7545,7580,7795,8174,8553
,Maluku Tengah,73.2,73.27,73.73,74.34,75.1,"9,67","9,68","9,76","9,78","9,79","5840,04","6033,67","6348,06","6623,88","6973,51","19,83","19,84","17,46","17,84","17,67",66.42,66.45,66.73,67.04,67.26,503800,515582,542782,589125,614323,53,53,52,53,53,72.9,74.24,74.05,79.42,93.4,98.38,98.41,98.22,97.9,98.33,10210,10243,10406,10788,11183
,Buru,70.55,70.93,71.52,72.11,72.55,"8,52","8,79","8,99","9,01","9,02","1564,1","1610,53","1696,49","1764,65","1841,88","16,64","17,28","15,82","16,53","16,08",66.41,66.44,66.72,67.03,67.21,492055,503254,530858,584277,610346,27,28,28,29,29,70.48,69.35,71.93,72.05,91.55,90.22,90.69,91,91.17,91.82,10316,10347,10414,10879,11261
,Kepulauan Aru,66.88,66.99,67.36,68.19,69,"8,82","8,83","8,87","8,97","9,21","2277,8","2356,73","2489,55","2613,29","2755,77","26,26","26,53","23,51","24,21","23,39",62.87,62.96,63.29,63.57,63.76,490565,516604,562416,626086,644112,13,13,13,13,13,39.18,39.66,33.22,38,83.85,88.19,88.6,88.84,89.16,89.52,7586,7623,7733,8133,8488
,Seram Bagian Barat,69.68,69.9,70.76,71.68,72.54,"8,87","8,92","9,24","9,35","9,59","1963,37","2030,11","2144,15","2244,09","2370,29","25,11","25,27","22,25","22,39","22,31",61.69,61.85,62.25,62.61,62.9,419793,427355,449297,486747,508517,42,43,44,44,45,63.62,62.64,64.74,69.17,93.58,98.44,98.53,98.77,98.63,98.4,8690,8720,8890,9324,9706
,Seram Bagian Timur,68.11,68.29,69.05,69.84,70.28,"8,43","8,46","8,71","8,82",9,"1935,79","1966,86","2047,51","2127,49","2203,64","23,04","23,25","20,73","21,08","21,03",59.41,59.62,60.06,60.46,60.8,398430,403573,421902,458176,478721,21,22,25,25,26,57.34,65.25,71.86,72.91,80.48,87.67,88.39,88.43,88.88,88.83,9453,9480,9591,10020,10049
,Maluku Barat Daya,64.66,65.14,65.84,66.71,67.68,"8,35","8,59","8,77","8,92","9,13","1063,73","1270,17","1400,79","1746,73","1863,84","29,15","29,55","27,64","28,78","27,95",62.38,62.55,62.98,63.39,63.7,521899,535594,586021,658036,686428,18,18,18,19,19,66.41,82.65,76.75,82.61,96.14,90.08,90.29,90.33,90.47,90.65,6890,6918,7010,7223,7600
,Buru Selatan,66.14,66.25,66.81,67.68,68.54,"7,94","7,95","8,06","8,23","8,48",892,"923,19","974,2","1018,86","1069,47","15,75","15,89","14,75","15,28","14,91",66.27,66.36,66.69,66.96,67.15,628659,644441,677044,743721,769919,20,20,21,22,22,61.32,58.54,61.69,63.74,84.81,86.39,86.49,86.79,87.21,87.26,7566,7600,7716,8108,8474
,Kota Ambon,81.69,82.07,82.44,82.84,83.37,"11,92","12,2","12,21","12,22","12,24","10192,38",10608,"11149,41","11647,43","12341,94","4,51","5,02","4,68","5,25","5,13",70.52,70.63,71,71.37,71.62,596042,621482,661016,716560,750166,1163,1164,1471,1516,1532,89.24,90.56,90.79,91.32,98.22,97.78,97.83,97.86,97.86,97.95,14116,14148,14405,14692,15196
,Kota Tual,70.24,70.44,70.85,71.67,72.48,"10,52","10,53","10,54","10,66","10,67","1498,28","1551,95","1639,65","1735,59","1821,2","22,51","23,26","20,56","20,68","20,01",65.47,65.68,66.16,66.65,67.01,574105,600172,640542,722498,746967,347,355,396,389,394,83.47,83.27,83.44,89.24,95.56,88.11,88.31,88.46,88.56,88.82,7351,7405,7519,7825,8238
Maluku Utara,Halmahera Barat,66.96,67.2,67.84,68.56,69.2,"8,35","8,37","8,57","8,58","8,59",1530,"1548,4","1597,2","1632,9","1728,7","8,82","8,95","8,43","8,74","8,75",66.25,66.34,66.64,66.91,67.13,339283,358707,379108,414870,455327,71,79,81,61,62,80.34,73.32,67.77,76.39,80.66,88.3,88.48,88.89,89.12,89.3,7352,7467,7636,8046,8426
,Halmahera Tengah,67.97,68.38,68.95,69.95,70.94,9,"9,01","9,02","9,19","9,2","2003,8",5247,"10618,8","15122,7","17905,3","13,56","13,52",12,"11,44","10,71",63.91,64.15,64.61,65.06,65.35,466973,491657,507555,552350,593903,22,22,22,27,27,72.4,80.7,81.93,80.45,82.69,89.53,89.78,90.18,90.46,90.6,7841,7966,8212,8675,9140
,Kepulauan Sula,65.72,65.99,66.9,67.49,68.19,"8,95",9,"9,02","9,04","9,17","1641,3","1662,7",1722,"1767,7","1885,2","8,35","8,23","7,64","8,17","7,96",63.3,63.39,63.68,63.94,64.22,372561,391912,414512,453476,485242,32,32,32,33,33,77.49,81.31,82.09,82.58,83.72,91.97,92.36,92.77,92.85,93.19,6950,7040,7417,7718,8020
,Halmahera Selatan,65.42,65.88,66.78,67.55,68.43,"7,93","8,1","8,16","8,17","8,42",5724,"6538,2","7936,1","10144,1","12573,6","5,21","5,19","4,99","5,68","5,63",65.86,65.93,66.22,66.5,66.71,324767,343323,362100,400768,449334,29,31,31,32,33,61.19,57.97,70.25,74.79,77.43,86.49,87.3,87.38,87.58,87.79,7068,7142,7479,7883,8210
,Halmahera Utara,68.26,68.58,69.13,69.79,70.52,"8,51","8,62","8,63","8,65","8,67","3738,6","3854,4","3999,1","4036,1","4110,6","4,45","5,22","4,58","4,62","4,71",69.56,69.61,69.88,70.11,70.35,248544,263507,301041,378968,425857,51,51,52,60,61,70.25,68.99,64.93,69.58,70.19,89.44,89.35,89.73,90.03,90.25,7414,7519,7774,8152,8607
,Halmahera Timur,67.47,67.7,68.62,69.48,70.35,"8,26","8,27","8,52","8,66","8,88","2297,2","2502,4","2531,9","3204,4","3320,9","15,45","15,04","13,14","12,47","11,91",68.88,69.08,69.5,69.9,70.04,569464,600339,624983,631233,655936,15,14,14,15,15,70.86,70.1,79.79,81.64,82.26,81.43,81.56,82.09,82.59,82.69,7876,7973,8230,8650,8999
,Pulau Morotai,63.69,64.09,64.99,65.93,66.91,"7,39","7,4","7,42","7,55","7,73","1052,5","1073,9","1107,3","1134,7","1194,9","6,46","6,52","5,42","5,38","5,11",67.18,67.35,67.74,68.1,68.39,276746,291879,301712,379931,428136,28,31,32,34,34,62.45,71.5,68.56,68.52,70.06,69.75,69.75,70.85,71.58,72.61,6290,6378,6767,7141,7523
,Pulau Taliabu,62.5,62.75,63.65,64.31,64.88,"7,66","7,67","7,94","7,97","7,99","996,2","1123,1",1162,"1192,2","1245,8","7,3","7,49","6,88","7,31","7,13",62.1,62.22,62.53,62.79,63.05,401710,425241,448735,491203,525953,36,40,41,20,21,61.94,65.37,62.65,65.91,67.09,83.29,83.29,83.81,84.51,84.93,6390,6467,6623,6939,7226
,Kota Ternate,80.32,80.63,81.28,81.79,82.59,"11,71","11,81","12,06","12,07","12,08","7158,1","7341,3",7731,"8117,7","8834,9","3,46","3,55","3,11","3,39","3,14",70.97,71.06,71.38,71.7,71.98,595553,629463,661459,668074,701354,2138,1848,1856,1307,1322,94.4,99.23,95.56,98.29,98.53,91.83,91.87,92.28,92.37,92.24,13091,13290,13586,14042,14731
,Kota Tidore Kepulauan,71.57,72.04,72.57,73.4,74.01,"9,73","9,95","9,96","9,97","10,12","2033,8","2057,6","2122,6","2175,4","2314,7","6,52","6,58","5,99","6,35","6,56",69.34,69.43,69.75,70.1,70.22,448352,472651,484983,540752,581193,62,71,72,70,71,88.15,90.55,88.76,91.77,92.16,95.47,95.84,96.04,96.34,96.59,8188,8316,8586,9034,9269
